,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
609,"Relationships, Events, Contacts, and Outreach Network (RECON)",Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,AI,RECON AI for Recommender System| Sentiment Analysis,recon ai recommender sentiment analysis,12,Service Delivery
610,Risk Adjustment Payment Integrity Determination System (RAPIDS),Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,"CLASSIFICATION, AI",RAPIDS AI for Classification| Process Efficiency Improvement,rapids ai process efficiency improvement,4,Service delivery
611,Drug Cost Increase Predictions,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,Use Historical drug costs increases to predict future increases,use historical drug costs increases predict future increases,9,"""Asset management"""
612,Brand vs Generic Market Share,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,Analyze generic drugs compared to brand drugs over time and forecast future market shares based on Part D claims volume,analyze generic drugs compared brand drugs time forecast future market shares based part claims volume,2,"""Service / benefits access"""
613,Drug cost anomaly detection,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,Identify anomalies in drug costs on Part D claims,identify anomalies drug costs part claims,9,"""Program integrity"""
614,Artificial Intelligence (AI) Explorers Program Pilot - Automated Technical Profile,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,90 day Pilot is to engage in research and development to investigate applications in the generation of a machine-readable Automated Technical Profile for CMS systems with the goal of inferring the technology fingerprint of CMS projects based on multiple data sources at different stages of their development lifecycle,day pilot engage research development investigate applications generation automated technical profile cms systems goal inferring technology fingerprint cms projects based multiple data sources different stages development lifecycle,19,Asset management
615,Artificial Intelligence (AI) Explorers Program Pilot - Section 508 accessibility Testing,Centers for Medicare & Medicaid Services (CMS),Department of Health and Human Services,HHS,,90 day Pilot is to better inform CMS technical leads and Application Development Organizations (ADOs) to conduct a comprehensive analysis on the data from the test result documents in support of the CMS Section 508 Program.,day pilot better inform cms technical leads application development organizations ados conduct comprehensive analysis data test result documents support cms section program,9,Accessibility
616,Process Large Amount of Submitted Docket Comments,FDA,Department of Health and Human Services,HHS,"AI, ML","Provide an automated process to transfer, deduplicate, summarize and cluster docket comments using AI/ML",provide automated process transfer deduplicate summarize cluster docket comments using,12,Service delivery
617,To develop novel approaches to expand and/or modify the vaccine AESI phenotypes in order to further improve adverse event detection,FDA,Department of Health and Human Services,HHS,ML,Developing a BERT-like ML model to improve detection of adverse events of special interest by applying a clinical-oriented language models pre-trained using the clinical documents from UCSF,developing ml model improve detection adverse events special interest applying language models using clinical documents ucsf,12,Topic: Asset management
618,"BEST Platform improves post-market surveillance efforts through the semi-automated detection, validation and reporting of adverse events.",FDA,Department of Health and Human Services,HHS,"ML, NLP","The BEST Platform employs a suite of applications and techniques to improve the detection, validation and reporting of  biologics-related adverse events from electronic health records (EHRs). The Platform utilizes ML and NLP to detect potential adverse events, and extract the important features for clinicians to validate.  ",best platform employs suite applications techniques improve detection validation reporting adverse events electronic health records ehrs platform utilizes ml nlp detect potential adverse events extract important features clinicians validate,12,Service / benefits access
